Flödesnamn	Processnamn	Beskrivning	Användar-ID
INBOUND	Decanting	Dekantering	jonwen
INBOUND	HBW	HBW	jonwen
INBOUND	Manual_Buffer	"Manuell Buffert"	jonwen
INBOUND	Putaway_Pick	"Inlagring Plock"	jonwen
INBOUND	Returns	Returer	jonwen
INBOUND	Receiving	Mottag	jonwen
INTERNT	Refill_Manual_HBW	"Påfyllning Manuellt plock HBW"	jonwen
INTERNT	Notification	Avisering	johper
INTERNT	Buffer_Update	Buffertuppdatering	johper
INTERNT	Refill_Manual_Rack	"Påfyllning Manuellt plock från ställage"	jonwen
INTERNT	Refill_AS_Buffer	"Påfyllning AS, Buffert"	jonwen
INTERNT	Refill_AS_VM	"Påfyllning AS, VM"	jonwen
OUTBOUND	Full_Manual_Buffer	"Helpall från manuell buffert"	jonwen
OUTBOUND	Sort_Ecom	"Sortering Ecom"	johper
OUTBOUND	Manual_Pick	"Manuellt plock"	jonwen
OUTBOUND	Ecom_pack	"E - Handel pack"	johper
OUTBOUND	Flammable	"Brandfarligt plock"	johper
OUTBOUND	Bulky_Pick	"Skrymmande Plock"	jonwen
OUTBOUND	Autostore	Autostore	jonwen
OUTBOUND	Campaign	Kampanjplock	johper
OUTBOUND	Sort_Store	"Sortering Butik"	johper
OUTBOUND	Order_Split	Orderdelning	johper
OUTBOUND	E_Commerce	"E - Handel"	jonwen
OUTBOUND	Full_Pallet_From_HBW	"Helpall från HBW"	jonwen
