Id	"Från lokation"	"Till lokation"	Avstånd	Timestamp
8547	BB20032A	AA67	5	"2025-09-17 14:36:49"
8548	AA67	AA66	5	"2025-09-17 14:36:49"
8549	AA66	AA65	5	"2025-09-17 14:36:49"
8550	AA65	AA64	5	"2025-09-17 14:36:49"
8551	AA64	AA63	5	"2025-09-17 14:36:49"
8552	AA63	AA62	5	"2025-09-17 14:36:49"
8553	AA62	AA61	5	"2025-09-17 14:36:49"
8554	AA61	AA60	5	"2025-09-17 14:36:49"
8555	AA60	BC01011	5	"2025-09-17 14:36:49"
8556	BC01011	SK1	5000	"2025-09-17 14:36:49"
8557	SK1	SK2	1	"2025-09-17 14:36:49"
8558	SK2	SK3	1	"2025-09-17 14:36:49"
8559	SK3	SK4	1	"2025-09-17 14:36:49"
8560	SK4	SK5	1	"2025-09-17 14:36:49"
8561	SK5	SK6	1	"2025-09-17 14:36:49"
8562	SK6	SK7	1	"2025-09-17 14:36:49"
8563	SK7	SK8	1	"2025-09-17 14:36:49"
8564	SK8	SK9	1	"2025-09-17 14:36:49"
8565	SK9	SK10	1	"2025-09-17 14:36:49"
8566	SK10	SK11	1	"2025-09-17 14:36:49"
8567	SK11	SK12	1	"2025-09-17 14:36:49"
8568	SK12	SK13	1	"2025-09-17 14:36:49"
8569	SK13	SK14	1	"2025-09-17 14:36:49"
8570	SK14	SK15	1	"2025-09-17 14:36:49"
8571	SK15	SK16	1	"2025-09-17 14:36:49"
8572	SK16	SK17	1	"2025-09-17 14:36:49"
8573	SK17	SK18	1	"2025-09-17 14:36:49"
8574	SK18	SK19	1	"2025-09-17 14:36:49"
8575	SK19	SK20	1	"2025-09-17 14:36:49"
8576	SK20	SK21	1	"2025-09-17 14:36:49"
8577	SK21	SK22	1	"2025-09-17 14:36:49"
8578	SK22	SK23	1	"2025-09-17 14:36:49"
8579	SK23	SK24	1	"2025-09-17 14:36:49"
8580	SK24	SK25	1	"2025-09-17 14:36:49"
8581	SK25	SK26	1	"2025-09-17 14:36:49"
8582	SK26	SK27	1	"2025-09-17 14:36:49"
8583	SK27	SK28	1	"2025-09-17 14:36:49"
8584	SK28	SK29	1	"2025-09-17 14:36:49"
8585	SK29	SK30	1	"2025-09-17 14:36:49"
8586	SK30	SK31	1	"2025-09-17 14:36:49"
8587	SK31	SK32	1	"2025-09-17 14:36:49"
8588	SK32	SK33	1	"2025-09-17 14:36:49"
8589	SK33	SK34	1	"2025-09-17 14:36:49"
8590	SK34	SK35	1	"2025-09-17 14:36:49"
8591	SK35	SK36	1	"2025-09-17 14:36:49"
8592	SK36	SK37	1	"2025-09-17 14:36:49"
8593	SK37	SK39	1	"2025-09-17 14:36:49"
8594	SK39	SK41	1	"2025-09-17 14:36:49"
