Bolag	Lager	Flödesnamn	Processnamn	Beskrivning	Rader	Kollin	Pallar	Order	"Poäng rader"	"Poäng kolli"	"Poäng pallar"	"Poäng order"	"Mål faktor %"	"Rader faktor %"	"Kollin faktor %"	"Pallar faktor"	"Order faktor %"	"Total faktor %"
GG	404	INBOUND	Decanting	Dekantering	40	0	0	0	"2,5"	0	0	0	100	100	0	0	0	100
GG	404	INBOUND	HBW	HBW	0	0	80	0	0	0	"1,25"	0	100	0	0	100	0	100
GG	404	INBOUND	Manual_Buffer	"Manuell Buffert"	0	0	25	0	0	0	4	0	100	0	0	100	0	100
GG	404	INBOUND	Putaway_Pick	"Inlagring Plock"	0	0	20	0	0	0	5	0	100	0	0	100	0	100
GG	404	INBOUND	Returns	Returer	120	210	0	0	"0,83"	"0,48"	0	0	100	75	25	0	0	100
GG	404	INBOUND	Receiving	Mottag	40	0	0	0	"2,5"	0	0	0	100	100	0	0	0	100
S1	FREY	INBOUND	HBW	HBW	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1	FREY	INBOUND	Decanting	Dekantering	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1	FREY	INBOUND	Manual_Buffer	"Manuell Buffert"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1	FREY	INBOUND	Putaway_Pick	"Inlagring Plock"	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1	FREY	INBOUND	Returns	Returer	0	0	0	0	0	0	0	0	0	0	0	0	0	0
S1	FREY	INBOUND	Receiving	Mottag	0	0	0	0	0	0	0	0	0	0	0	0	0	0
MG	JKP	INBOUND	Decanting	Dekantering	50	0	0	0	2	0	0	0	100	100	0	0	0	100
MG	JKP	INBOUND	HBW	HBW	0	0	80	0	0	0	"1,25"	0	100	0	0	100	0	100
MG	JKP	INBOUND	Manual_Buffer	"Manuell Buffert"	0	0	25	0	0	0	4	0	100	0	0	100	0	100
MG	JKP	INBOUND	Putaway_Pick	"Inlagring Plock"	0	0	30	0	0	0	"3,33"	0	100	0	0	100	0	100
MG	JKP	INBOUND	Returns	Returer	120	210	0	0	"0,83"	"0,48"	0	0	100	75	25	0	0	100
MG	JKP	INBOUND	Receiving	Mottag	25	0	0	0	4	0	0	0	100	100	0	0	0	100
MG	JKP	INTERNT	Refill_Manual_HBW	"Påfyllning Manuellt plock HBW"	0	0	15	0	0	0	"6,67"	0	100	0	0	100	0	100
MG	JKP	INTERNT	Notification	Avisering	0	0	0	0	0	0	0	0	0	0	0	0	0	0
