Pallid	Status	Ordernr	Yta	Kund	Kund	Antal	Artikel	Beskrivning	Packklass	Ändrad	Användare	Kö	Prioritet	Lagerplats	Zon	Bolag	Lager	Batch	Sändningsnr	Utgångsdatum	"Pågående Plock"	"Plockplats Diff"	SSCC	Avgång	Krangång
674799	35					36	1250844	"TORKVINDA WILDA"	0	"2026-03-17 06:37:30"	BRAH17	2	5	BD03016	A	GG	404				0	-8	273500916306747996		
708829	35					50	1238870	"MINERAL HÄST BALANS 8KG"	0	"2026-03-17 06:37:35"	ROSE43	2	5	BB19016	A	GG	404			2027-02-10	2	-29	273500916307088296		
712270	30					108	2001418369150	"FAT BOTANICA 51 CM GRÅ"	0	"2026-03-11 06:26:51"	FILI10	4	5	UT2		GG	404				0	318	273500916307122709		
712272	30					168	1238673	"PROTECT MULTIVIT FLYT 1L"	0	"2026-03-11 10:03:06"	HANN85	4	1	UT2		GG	404				0	-169	273500916307122723		
689065	30					1	2000805	"STÄLL BUSKSTÖD, SVART 400 ST KIT*"	0	"2026-03-16 11:30:17"	SEBA23	4	3	UT2		GG	404				0	0	273500916306890654		
719596	30					92	1249319	"MONSTER DOG GF SINGLES LAMB ALL 2KG"	0	"2026-03-16 22:42:57"	SEBA80	4	2	UT2		GG	404				0	0	273500916307195963		
715644	30					23	1221658	"STÖVEL BEKINA M SKYDD 39"	0	"2026-03-16 22:56:24"	SEBA80	4	2	UT2		GG	404				0	1	273500916307156445		
413151	30	TO100036595	UTL88A	475	"Granngården Kinna"	2	1268101	"REGNVATTENTUNNA RUSTIK 240 LITER"	0	"2026-03-17 06:37:59"	OrderGenerator	3	5	UT2	A	GG	404		GG-404-260316-1701950-0		0	0	273500916304131513		
447585	30	TO100036593		422	"Granngården Östhammar"	1	2001456	"GRÄSKLIPPARE COMBI 48 S"	0	"2026-03-17 06:38:20"	OrderGenerator	3	5	UT2	A	GG	404		GG-404-260316-1701961-0		0	0	273500916304475853		
611439	30	TO100036491		453	"Granngården Hjo"	60	1169944	"SOLROSFRÖ GG SKALADE PÅSE 4KG"	0	"2026-03-17 06:38:32"	OrderGenerator	3	5	UT2	A	GG	404		GG-404-260317-1703672-0		0	81	273500916306114392		
689161	30	TO100036586	UTL91/UTL92/UTL93	425	"Granngården Täby"	1	2000805	"STÄLL BUSKSTÖD, SVART 400 ST KIT*"	0	"2026-03-17 06:37:55"	OrderGenerator	3	5	Palldel	H	GG	404		GG-404-260316-1701984-0		0	0	273500916306891613		
