Status	Prioritet	"Pall nr"	"Batch nr"	Artikel	Artikel	Område	Ändrad	Antal	Vikt	Användare	Kö	Utgång	SSCC	Bolag	Lager	"Antal per lav"	Detalj	Kontrolind	Viktartikel	Palltyp	"Pack klass"	"Mix Pall"	Inköpsnr	"Crossdock Ind"	Produktionsdatum	"Robot Ind"
20	5	718320		2000516	"LEVERSNITTAR FAVORITGODIS 2,5KG"		"2026-03-16 20:33:51"	160	"419,68"	ALIA95	4	2027-05-10	273500916307183205	GG	404	0	C	N	N	EUR	0		500320661	N	2025-11-09	Y
20	5	670247		1267279	"FIBERDUK PALLKRAGE FÖR BÅGAR"		"2026-03-16 20:33:07"	288	"115,2"	Abdi74	4		273500916306702476	GG	404	0	C	N	N	EUR	0		500238469	N		Y
20	5	696163		2000515	"LEVERSNITTAR FAVORITGODIS LAMM&RIS 800G"		"2026-03-16 20:31:58"	432	"349,92"	ALIA95	4	2027-08-06	273500916306961637	GG	404	0	C	N	N	EUR	0		500314359	N	2026-02-05	Y
20	5	718294		2000492	"TUGGRULLE HEAVENLY 15-17,5CM BIFF"		"2026-03-16 20:31:14"	2444	"173,52"	Abdi74	4	2029-09-30	273500916307182949	GG	404	0	C	N	N	EUR	0		500320661	N	2026-10-01	Y
20	5	715520		1007557	"BLUNDSTONE 500 STL42"		"2026-03-16 20:29:23"	96	"112,32"	Abdi74	4		273500916307155202	GG	404	0	C	N	N	EUR	0		500256397	N		Y
20	5	720946		1268146	"KOPPLING KRAN 1"" 18222-20"		"2026-03-16 19:21:50"	60	0	MALI14	4		273500916307209462	GG	404	0	C	N	N	EUR	0		500322910	N		Y
30	5	720943		2003076242888	"OGRÄSNIX RAPID KONC. 5 L -"		"2026-03-16 19:17:30"	3	0	MALI14	4	2027-05-01	273500916307209431	GG	404	0	C	N	N	EUR	0		500319231	N	2025-05-01	N
30	5	720935		2003637	"MASKINFÄSTE RYOBI ONE+  4-PACK"	UTE05	"2026-03-16 19:05:29"	40	0	MALI14	4		273500916307209356	GG	404	0	C	N	N	EUR	0		500322248	N		Y
30	5	720934		2003638	"BATTERIFÄSTE RYOBI ONE+  4-PACK"	UTE05	"2026-03-16 19:05:28"	130	0	MALI14	4		273500916307209349	GG	404	0	C	N	N	EUR	0		500322248	N		Y
20	5	720919		1267279	"FIBERDUK PALLKRAGE FÖR BÅGAR"		"2026-03-16 18:44:47"	24	0	LINU22	4		273500916307209196	GG	404	0	C	N	N	EUR	0		500261734	N		Y
30	5	720918		1267280	"KÅLNÄT 4X5M"		"2026-03-16 18:44:11"	6	0	LINU22	4		273500916307209189	GG	404	0	C	N	N	EUR	0		500261734	N		N
30	5	720905		1290060	"RC CAT KITTEN JELLY 12X85G"	UTE05	"2026-03-16 18:39:20"	30	0	MALI14	4	2027-12-23	273500916307209059	GG	404	0	C	N	N	EUR	0		500322909	N	2025-12-23	Y
30	5	720908		1244256	"RC DOG MINI PUPPY GRAVY 12X85G"	UTE05	"2026-03-16 18:39:20"	20	0	MALI14	4	2028-01-17	273500916307209080	GG	404	0	C	N	N	EUR	0		500322909	N	2026-01-17	Y
30	5	720906		1237086	"RC CAT KITTEN GRAVY 12X85G"	UTE05	"2026-03-16 18:39:20"	24	0	MALI14	4	2028-01-14	273500916307209066	GG	404	0	C	N	N	EUR	0		500322909	N	2026-01-14	Y
30	5	720907		1290059	"RC CAT URINARY CARE GRAVY 12X85G"	UTE05	"2026-03-16 18:39:20"	24	0	MALI14	4	2028-01-13	273500916307209073	GG	404	0	C	N	N	EUR	0		500322909	N	2026-01-13	Y
30	5	720903		1290069	"RC DOG X-SMALL ADULT 8+ 1,5KG"	UTE05	"2026-03-16 18:39:20"	12	0	MALI14	4	2027-07-14	273500916307209035	GG	404	0	C	N	N	EUR	0		500322909	N	2026-01-13	Y
30	5	720910		1290061	"RC CAT STERILISED JELLY 12X85G"	UTE05	"2026-03-16 18:39:20"	32	0	MALI14	4	2028-01-23	273500916307209103	GG	404	0	C	N	N	EUR	0		500322909	N	2026-01-23	Y
30	5	720909		1237089	"RC CAT HAIR&SKIN CARE GRAVY ADULT 12X85G"	UTE05	"2026-03-16 18:39:20"	24	0	MALI14	4	2028-01-22	273500916307209097	GG	404	0	C	N	N	EUR	0		500322909	N	2026-01-22	Y
30	5	720911		1244260	"RC DOG MEDIUM ADULT GRAVY 10X140G"	UTE05	"2026-03-16 18:39:20"	24	0	MALI14	4	2027-12-18	273500916307209110	GG	404	0	C	N	N	EUR	0		500322909	N	2025-12-18	Y
30	5	720913		1290069	"RC DOG X-SMALL ADULT 8+ 1,5KG"	UTE05	"2026-03-16 18:39:20"	12	0	MALI14	4	2027-07-14	273500916307209134	GG	404	0	C	N	N	EUR	0		500322909	N	2026-01-13	Y
30	5	720884		1052279	"TRATTSATS 50-75-100-120 MM"	UTE02	"2026-03-16 17:58:18"	96	0	ISAK02	4		273500916307208847	GG	404	0	C	N	N	EUR	0		500306835	N		Y
30	5	720849		2002046	"ROOT - BIOHUMUS 4L -KRAV"	UTE01	"2026-03-16 17:48:44"	16	0	NELL17	4		273500916307208496	GG	404	0	C	N	N	EUR	0		500313213	N		Y
30	5	720850		1185382	"SVAMPMEDEL CURERAKUMULUS 200G"	UTE01	"2026-03-16 17:48:44"	12	0	NELL17	4		273500916307208502	GG	404	0	C	N	N	EUR	0		500313213	N		Y
30	5	720842		1166528	"TORKVINDA WENDELA"		"2026-03-16 17:33:18"	36	0	ISAK02	4		273500916307208427	GG	404	0	C	N	N	EUR	0		500319261	N		N
30	5	720841		1166528	"TORKVINDA WENDELA"		"2026-03-16 17:33:18"	36	0	ISAK02	4		273500916307208410	GG	404	0	C	N	N	EUR	0		500319261	N		N
30	5	720840		1166528	"TORKVINDA WENDELA"		"2026-03-16 17:33:18"	36	0	ISAK02	4		273500916307208403	GG	404	0	C	N	N	EUR	0		500319261	N		N
30	5	720839		1166528	"TORKVINDA WENDELA"		"2026-03-16 17:33:18"	36	0	ISAK02	4		273500916307208397	GG	404	0	C	N	N	EUR	0		500319261	N		N
30	5	720838		1166528	"TORKVINDA WENDELA"		"2026-03-16 17:33:18"	36	0	ISAK02	4		273500916307208380	GG	404	0	C	N	N	EUR	0		500319261	N		N
30	5	720837		1165211	"VALLFRÖ MIRA 21 15 KG SW"		"2026-03-16 17:33:11"	19	0	MALI14	4	2027-09-01	273500916307208373	GG	404	0	C	N	N	EUR	0		500318141	N	2026-06-23	N
35	5	720836		1250844	"TORKVINDA WILDA"		"2026-03-16 17:32:33"	36	0	FATH10	4		273500916307208366	GG	404	0	C	N	N	EUR	0		500319261	N		N
