Artikel	Beskrivning	"Vikt netto"	Plockplats	Plocksaldo	Kundorder	Diff	Buffertsaldo	"Saldo automation"	"Automation diff"	"Saldo kran"	"Kran diff"	"Saldo autoplock"	"Autoplock diff"	Utbeställt	Inlagring	Ankommande	"Pågående plock"	"För och under plock"	Saldo	Diff2	Externt	Lager	Bolag	Batchartikel	Klassificering	Robot
1008925	"TRÄSKO ANTON MOHEDA SVART 44"	"1,11"		0	10	-10	0	107	97	0	-10	107	97	0	0	108	0	0	107	97	0	404	GG	N	G	Y
1020707	"SVÄRD 15""/38CM 0.325"" 1,5MM"	"0,79"		0	0	0	0	4	4	0	0	4	4	0	10	0	0	0	14	14	0	404	GG	N	F	Y
1165657	"HILLS CAT ADULT STERILISED CHICKEN 1 5KG"	"1,52"		0	6	-6	86	151	145	86	80	65	59	0	0	0	0	0	151	145	0	404	GG	N	B	Y
1182790	"FAT PLAST TILL KRUKA SV 16CM 100% RECYCL"	"0,05"		0	120	-120	0	4787	4667	0	-120	4787	4667	0	0	0	0	0	4787	4667	0	404	GG	N	E	Y
1237066767155	"FLUGTÄCKE BUCAS FREEDOM 125 CM SILVER"	"2,1"		0	0	0	0	20	20	0	0	20	20	0	0	0	0	0	20	20	0	404	GG	N	D	Y
1237067716155	"INSEKTSMASK BUCAS S SILVER"	"0,18"		0	0	0	0	48	48	0	0	48	48	0	0	0	0	0	48	48	0	404	GG	N	D	Y
1238545	"SÅRSALVA WOUNDCREAM CDM 180G"	"0,31"		0	0	0	0	36	36	0	0	36	36	0	0	36	0	0	36	36	0	404	GG	N	D	Y
1240789	"HAMSTERFODER TFF HARRY 700G"	"0,71"		0	36	-36	0	60	24	0	-36	60	24	0	0	102	0	0	60	24	0	404	GG	N	B	Y
1244257	"RC DOG MINI ADULT GRAVY 12X85G"	"1,16"		0	32	-32	0	119	87	0	-32	119	87	0	0	0	0	0	119	87	0	404	GG	N	B	Y
1249708	"GREEN BONE FOREST BAJSPÅSE 8P/120ST"	"0,26"		0	18	-18	0	134	116	0	-18	134	116	0	0	102	0	0	134	116	0	404	GG	N	B	Y
1249802	"HUNDGODIS FRYSTORKADE ELITBITAR 60G"	"0,07"		0	8	-8	0	311	303	0	-8	311	303	0	0	0	0	0	311	303	0	404	GG	N	B	Y
1251606	"POLARSOCKA 2-PACK MED ULL STL 37/40."	"0,11"		0	1	-1	0	4	3	0	-1	4	3	0	0	2400	0	0	4	3	0	404	GG	N	G	Y
