artikelnummer,max,pallid
100688514,1076.0,354963
102884425,432.0,437392
103044623,720.0,439853
103053012,380.0,440283
103136148,20.0,456059
103136190,1000.0,461897
103222488,293.0,489005
103357383,320.0,458152
103357385,175.0,458278
103357483,1300.0,446697
103357486,410.0,457894
103385533,175.0,445207
103385540,360.0,437672
103415461,598.0,423332
103415462,130.0,437633
103421983,999.0,441916
103421989,75.0,439685
103422010,3064.0,458294
103428459,1106.0,439946
103429325,15.0,445606
103429342,622.0,445608
103429346,200.0,444853
103443700,600.0,446595
103451520,398.0,465345
103485792,47280.0,428703
103649970,175.0,440172
103649979,820.0,437956
103756721,3064.0,437322
104085335,145.0,446715
104085337,350.0,449394
104085344,80.0,456079
104093479,487.0,456083
104134952,3250.0,445692
104134954,3000.0,445691
104134955,125.0,445037
104156727,640.0,444975
104165301,550.0,277624
104175320,260.0,418472
104176794,240.0,465346
104195241,4211.0,444938
104195244,158.0,456123
104195245,202.0,456145
104195246,1416.0,457213
104195312,515.0,445040
104196668,175.0,439948
104199534,2200.0,418447
104211315,24.0,419130
104241611,175.0,456048
104241640,215.0,449666
104241642,130.0,458270
104251033,340.0,439976
104251035,239.0,440041
104251202,680.0,439762
104251206,175.0,439759
104274614,291.0,441915
104310852,125.0,326879
104310856,496.0,374829
104338595,640.0,293197
104338596,190.0,309667
104370820,150.0,458066
104370822,1024.0,456109
104370823,284.0,456260
104370824,284.0,456777
104370825,1878.0,439842
104370826,300.0,439974
104376124,800.0,439837
104376126,1000.0,439951
104423765,144.0,383931
104425925,150.0,273369
104425927,300.0,276865
104450377,400.0,421213
104450650,392.0,458292
104457164,417.0,442749
104457640,36.0,445524
104457652,198.0,478401
104463761,284.0,449804
104465433,300.0,417794
104471214,2986.0,444747
104471220,2000.0,444823
104471816,680.0,445523
104471819,175.0,444940
104471891,340.0,444770
104483819,120.0,336819
104483825,680.0,335902
104511537,125.0,277609
104511550,680.0,390534
104552604,283.0,456060
104553643,350.0,449643
104554135,500.0,456258
104554162,960.0,458274
104554169,175.0,458113
104579237,190.0,445109
104608291,200.0,439168
104654400,10000.0,462836
104654410,12000.0,465313
104684498,750.0,423293
104692544,269.0,449552
104696024,15.0,486707
104720117,409.0,444765
104720140,350.0,444762
104720964,270.0,445237
104720966,550.0,445612
104720968,2083.0,446964
104720969,850.0,445041
104720982,390.0,445043
104721392,1700.0,446588
104726355,127.0,458354
104746963,108.0,486685
104746986,100.0,490187
104746989,397.0,490182
104747011,396.0,497472
104747013,394.0,499673
104747016,200.0,490174
104747019,300.0,497423
104747889,104.0,490422
104747898,300.0,491880
104747912,150.0,497424
104749170,283.0,497453
104749171,72.0,497477
104749173,30.0,497435
104749174,31.0,497488
104749175,65.0,497470
104749177,37.0,497489
104779955,125.0,453780
104780096,600.0,486068
104780098,900.0,449646
104780161,132.0,449669
104780231,175.0,421201
104780898,100.0,444796
104780912,250.0,458088
104780917,1200.0,458303
104780919,320.0,447057
104780921,100.0,458105
104783972,732.0,449642
104826426,700.0,458320
104826429,930.0,483577
104826443,175.0,483545
104827143,200.0,421199
104827220,320.0,458050
104827222,997.0,453563
104827223,1268.0,458289
104827225,175.0,456263
104849777,175.0,439954
104850534,77.0,437545
104861156,170.0,437779
104865342,199.0,421455
104865347,1500.0,470745
104872392,780.0,445134
104878816,104.0,437429
104912342,170.0,437990
104912347,250.0,476983
104912351,500.0,429160
104917914,3355.0,439770
104930465,125.0,438416
104938623,329.0,453589
104938628,175.0,458288
104938640,316.0,458273
104938646,340.0,458151
104938657,400.0,447128
104938664,400.0,447130
104946408,100.0,494875
104946413,100.0,495018
104946416,95.0,497456
104946418,100.0,495020
104947504,420.0,456050
104971245,648.0,464757
104973438,2000.0,365201
104975627,328.0,365860
104975643,1008.0,437618
105008414,100.0,490417
105008417,75.0,490289
105008438,96.0,497493
105019531,125.0,440074
105019533,78.0,419319
105019537,1000.0,449671
105019538,720.0,423321
105019539,2000.0,423328
105019631,2500.0,429156
105019632,100.0,423336
105020619,75.0,327314
105020650,148.0,327316
105020652,546.0,327315
105046722,140.0,458180
105046723,340.0,457991
105046724,2325.0,458179
105046725,800.0,449806
105046726,350.0,449551
105049491,800.0,449640
105050728,680.0,458022
105053619,1041.0,445046
105053621,1161.0,446939
105053622,1202.0,446712
105053626,421.0,449812
105064553,281.0,491882
105064554,76.0,486660
105064555,120.0,487480
105064556,550.0,486704
105064558,70.0,486641
105064559,150.0,486696
105088635,900.0,458168
105088638,640.0,458141
105089374,1080.0,437487
105106435,18.0,449826
105106453,2040.0,453619
105111564,579.0,446910
105111568,1500.0,439969
105130712,300.0,417789
105130714,150.0,417792
105130716,300.0,417795
105144071,73.0,507761
105144107,156.0,503233
105144256,870.0,495326
105149389,450.0,458316
105149546,100.0,486674
105149582,540.0,487587
105154015,135.0,458308
105154034,181.0,458044
105154042,150.0,457926
105157656,180.0,444923
105157659,116.0,456788
105157680,60.0,456807
105170588,648.0,421314
105170665,250.0,448630
105170672,188.0,458319
105170681,668.0,457929
105170691,334.0,457881
105176324,260.0,497445
105176335,1330.0,497439
105176339,408.0,497474
105176343,300.0,497422
105176346,1260.0,497437
105176360,389.0,497486
105176366,205.0,497457
105178496,439.0,486631
105178497,460.0,486629
105178499,215.0,486684
105178530,215.0,486656
105178532,460.0,486665
105185042,75.0,388926
105185043,392.0,427744
105185044,334.0,388936
105185045,472.0,388940
105185046,250.0,427756
105185047,225.0,427712
105192321,3684.0,456095
105213747,200.0,415925
105227418,150.0,486710
105236557,50.0,303149
105236558,507.0,303160
105236570,310.0,277861
105238152,145.0,449637
105238155,350.0,458055
105238156,1020.0,456790
105238157,350.0,458174
105238158,1100.0,458268
105240741,21140.0,445357
105240744,1488.0,423344
105269128,1920.0,414937
105284833,23978.0,437790
105284838,2104.0,439157
105285741,125.0,445103
105285745,350.0,440044
105285751,1400.0,440338
105285757,625.0,449379
105285766,100.0,440935
105285775,1500.0,428870
105287809,200.0,458183
105287815,250.0,456067
105287817,500.0,457930
105287819,321.0,458342
105291932,981.0,445023
105424052,180.0,413942
105430171,36000.0,439004
105430173,6900.0,445521
105430174,37088.0,439027
105430176,6996.0,445534
105430177,38000.0,439011
105430179,7136.0,445519
105430260,38000.0,439015
105430261,8625.0,445550
105434881,660.0,497455
105434971,540.0,335885
105440134,15104.0,455009
105447845,166.0,440096
105473386,220.0,449817
105477301,122.0,486046
105477315,400.0,438035
105478766,154.0,458322
105479475,110.0,458089
105479481,145.0,453654
105479496,290.0,456776
105479540,145.0,458173
105479553,340.0,457977
105479563,340.0,449673
105479567,175.0,449702
105483578,44412.0,455852
105486163,80.0,458357
105486168,680.0,440331
105486191,680.0,446958
105488898,9552.0,455853
105493963,150.0,497809
105493973,1000.0,497495
105493988,19.0,497451
105493996,300.0,497816
105502536,55.0,492610
105507913,184.0,421186
105507929,222.0,421175
105507930,184.0,421424
105508049,150.0,446587
105508056,340.0,445770
105508102,1360.0,445744
105508106,350.0,445767
105521271,480.0,445601
105524474,705.0,383957
105524999,60.0,486659
105525006,43.0,486653
105535057,18.0,445786
105535058,104.0,447049
105535080,536.0,475023
105535082,45.0,468931
105535086,90.0,445584
105535100,221.0,444730
105535112,1027.0,441756
105535126,100.0,441554
105545968,900.0,493013
105548914,320.0,440960
105551663,572471.0,439042
105553791,320.0,440961
105553794,320.0,440939
105554781,500.0,446861
105580192,20.0,458097
105580199,360.0,456134
105580204,56.0,453634
105609407,132.0,458146
105610867,360.0,441663
105610875,564.0,441813
105610876,130.0,444728
105622655,6896.0,423329
105631436,16.0,437713
105639697,200.0,458313
105639701,2000.0,446701
105639703,200.0,456780
105639704,600.0,458013
105639708,600.0,458009
105639713,100.0,448642
105639714,658.0,449732
105639715,350.0,456127
105639720,350.0,456146
105639721,361.0,449730
105639722,365.0,458301
105641897,1080.0,453482
105641904,11.0,445361
105641906,100.0,453459
105641909,125.0,453545
105641912,640.0,453462
105641948,320.0,453486
105642394,74.0,456265
105642420,125.0,456154
105642426,500.0,453573
105642428,102.0,456772
105642440,250.0,456111
105648986,300.0,456047
105649978,40.0,486697
105650411,260.0,493006
105650412,300.0,486688
105650414,207.0,491884
105650415,121.0,487631
105650418,417.0,487618
105650419,467.0,487567
105650437,100.0,493004
105650439,14.0,499669
105650460,1500.0,495025
105650462,70.0,491883
105651412,94.0,458339
105651413,71.0,421361
105651414,200.0,459870
105651415,442.0,459883
105651416,375.0,459861
105651417,120.0,458108
105651418,97.0,459863
105651419,400.0,459862
105659373,1241.0,273407
105659374,750.0,315471
105659386,400.0,368494
105659612,400.0,368506
105659619,1200.0,429247
105659885,561.0,351275
105660946,438.0,358035
105673697,200.0,457892
105673752,800.0,456130
105679932,75.0,449725
105679934,562.0,447046
105679935,643.0,446577
105679938,220.0,446894
105679939,500.0,458365
105685849,140.0,447060
105687314,1380.0,492671
105689488,648.0,437543
105693290,31.0,487552
105693294,52.0,487540
105693295,80.0,487438
105693298,29.0,487647
105694231,350.0,483775
105695658,400.0,447000
105696088,150.0,444733
105696090,417.0,445038
105696094,437.0,444863
105702556,340.0,452485
105702572,150.0,452475
105706394,314.0,488899
105710298,115.0,444958
105710301,865.0,445510
105710306,83.0,445759
105710317,145.0,489006
105710322,340.0,489013
105717244,1300.0,345662
105717246,600.0,492673
105717250,136.0,366006
105717259,68.0,331371
105717291,1360.0,444734
105718717,400.0,439741
105718721,1200.0,439785
105722383,150.0,484473
105722385,150.0,484467
105722387,150.0,484470
105722388,900.0,484471
105722401,1500.0,484462
105722402,104.0,385516
105723493,12980.0,331246
105723515,272.0,383934
105730488,2401.0,445267
105730885,6488.0,445266
105746808,312.0,295129
105749669,500.0,467112
105749671,71.0,368269
105749675,85.0,413977
105749676,250.0,413051
105750679,145.0,440347
105750704,256.0,440356
105750712,350.0,449356
105750718,256.0,440357
105750741,340.0,490605
105750747,390.0,445030
105754450,120.0,445126
105756089,250.0,413205
105756779,340.0,488939
105757495,70.0,279502
105758318,350.0,445396
105764712,100.0,445323
105769647,2500.0,447010
105769664,150.0,461912
105771263,340.0,461941
105771268,680.0,461899
105771282,250.0,445249
105771283,200.0,445275
105771285,78.0,444971
105775744,63.0,445401
105775747,60.0,445412
105775770,64.0,445019
105775775,174.0,444963
105775777,174.0,444825
105791149,648.0,437517
105791152,864.0,437397
105791156,4356.0,449633
105809894,2000.0,455973
105818655,1360.0,441791
105818656,680.0,449366
105820933,100.0,447135
105821037,398.0,453656
105821041,398.0,453564
105821046,250.0,448658
105822913,145.0,490603
105822920,340.0,490631
105822925,680.0,490546
105823559,125.0,445505
105823564,299.0,445707
105823565,863.0,445394
105823566,400.0,446698
105823568,135.0,444984
105823569,232.0,445377
105823570,130.0,445243
105824084,350.0,345502
105826893,700.0,413052
105826896,700.0,410799
105826915,60.0,410809
105826916,900.0,410806
105830456,204.0,453680
105830459,204.0,449758
105830621,170.0,456158
105830731,500.0,358032
105832045,500.0,428850
105833261,454.0,357663
105833333,150.0,423304
105833339,375.0,444793
105833344,750.0,423295
105833351,207.0,423290
105834752,668.0,438021
105835936,70.0,449800
105835965,17.0,424790
105835971,18.0,421466
105835973,1.0,421185
105835978,36.0,421468
105835992,15.0,423331
105835995,18.0,421464
105836080,500.0,487435
105836085,120.0,487444
105836086,240.0,487409
105839410,750.0,455010
105841860,856.0,455003
105841880,3096.0,445281
105841885,188.0,456936
105845040,50.0,358023
105845042,900.0,331163
105845645,60.0,310087
105845646,2096.0,309729
105845648,259.0,343705
105845649,549.0,309731
105859202,350.0,319395
105860508,199.0,310605
105860517,600.0,384234
105860523,346.0,383930
105860525,360.0,310620
105860528,170.0,384232
105862129,1808.0,446759
105865817,100.0,487459
105865851,65.0,487448
105867714,1372.0,424726
105867715,126.0,424731
105869973,60.0,310375
105869974,437.0,356687
105869976,1114.0,356688
105869977,720.0,356690
105869978,341.0,383922
105869979,150.0,406812
105870922,2000.0,446767
105870923,12000.0,445664
105872247,126.0,424730
105873903,720.0,357631
105873905,56.0,355353
105875479,267.0,487543
105875794,276.0,449656
105875796,500.0,458001
105875797,220.0,458293
105875804,872.0,456052
105879340,100.0,506026
105879341,240.0,499656
105879346,370.0,497499
105879347,1100.0,497473
105879348,440.0,497464
105879683,1100.0,368239
105879685,1.0,370431
105879687,850.0,370438
105882219,720.0,385446
105883066,35000.0,418159
105883068,12000.0,418178
105894018,47.0,457874
105897125,328.0,333128
105897140,740.0,406579
105915255,1460.0,458307
105919027,180.0,370413
105935043,468.0,459864
105936654,2.0,458185
105936657,2.0,453785
105936661,798.0,458536
105936662,340.0,445373
105937752,340.0,446862
105937757,340.0,445356
105937759,175.0,446822
105951311,200.0,494882
105951321,100.0,494876
105959064,2780.0,453677
105964913,60.0,457928
105964914,60.0,453553
105964915,60.0,456774
105965206,44.0,487622
105969476,500.0,456805
105973266,135.0,445494
105973267,550.0,445544
105973306,2040.0,445752
105973307,620.0,445148
105973308,650.0,445116
105977808,86.0,415926
105998758,680.0,446942
105998930,6700.0,446031
106000020,25.0,370450
106005756,135.0,445495
106006549,120.0,483824
106006580,320.0,445293
106006621,432.0,437328
106009628,120.0,441613
106009629,326.0,441597
106009650,326.0,441619
106009652,480.0,441598
106009654,326.0,441636
106009655,175.0,441634
106014002,150.0,453797
106014003,350.0,453681
106014128,1360.0,456070
106014129,350.0,456084
106014160,75.0,458127
106014164,2100.0,458011
106016392,640.0,423282
106016393,373.0,423285
106016394,373.0,423288
106016431,332.0,423287
106016521,746.0,423284
106016522,451.0,427149
106016523,250.0,428747
106016524,345.0,424761
106016526,77.0,423301
106016528,346.0,423318
106016529,334.0,428864
106016580,1285.0,423316
106016581,150.0,445299
106016582,332.0,429107
106016583,150.0,437436
106018424,125.0,448670
106018425,750.0,458169
106018426,360.0,453796
106018427,1000.0,447014
106018450,100.0,453635
106018451,750.0,458175
106021904,340.0,483537
106023112,115.0,483540
106023113,1000.0,483563
106024295,120.0,458106
106024310,350.0,437697
106024312,320.0,449365
106024314,1400.0,456087
106024326,320.0,456779
106024328,360.0,444742
106024363,175.0,445308
106024554,160.0,487632
106024555,160.0,487454
106024556,480.0,487652
106024557,160.0,487442
106024558,320.0,487440
106024580,160.0,487577
106024584,130.0,503144
106024586,300.0,497450
106024587,300.0,493017
106024588,1200.0,491885
106024610,300.0,493016
106024611,300.0,497568
106025067,200.0,497449
106025069,280.0,497448
106025100,1040.0,499647
106025104,280.0,497490
106025115,1300.0,499676
106029860,3.0,458188
106029937,249.0,438471
106032506,350.0,483871
106032508,587.0,444932
106033827,750.0,456261
106036054,52.0,392245
106039702,11420.0,445671
106041103,48.0,445502
106041104,228.0,445699
106041555,75.0,385010
106041557,720.0,385500
106041558,720.0,385505
106042032,305.0,385523
106042033,180.0,430528
106042922,218.0,385511
106043417,228.0,445403
106043418,228.0,446732
106043419,228.0,446734
106043430,456.0,446765
106043431,528.0,444927
106046515,400.0,453536
106047915,200.0,445753
106047916,200.0,445487
106047933,528.0,446731
106049335,124.0,418541
106049336,16.0,406587
106049339,4.0,406585
106049380,4.0,406582
106049636,500.0,446889
106049637,680.0,458265
106049639,1928.0,458318
106052038,90.0,408324
106052039,17.0,439207
106054097,22000.0,439221
106055025,100.0,490260
106058386,350.0,406584
106058387,372.0,406586
106058442,110.0,449349
106059816,100.0,490203
106059817,300.0,490179
106059818,400.0,490157
106059819,170.0,490424
106061068,1923.0,413190
106061508,456.0,445611
106065365,700.0,458377
106065375,700.0,446946
106065376,250.0,453625
106065377,5160.0,485177
106065547,1000.0,446882
106065600,1000.0,446865
106065603,1000.0,446864
106067869,10200.0,479569
106071836,760.0,429195
106075653,49.0,445553
106077387,334.0,467106
106077389,500.0,467103
106078665,180.0,439253
106079775,300.0,458779
106080368,500.0,467117
106086855,200.0,493014
106086858,260.0,490198
106086859,260.0,487654
106086880,60.0,497484
106089181,1020.0,483560
106098695,258.0,499639
106100531,80.0,499636
11275603,192.0,494374
11275604,1920.0,498596
11275840,1920.0,507355
11275845,768.0,502995
11275850,192.0,438636
11275855,192.0,493962
11290019,4.0,502286
11800030,1680.0,475724
12100488,8.0,454019
12100534,600.0,469513
12100772,600.0,474219
12100781,600.0,474149
12100782,600.0,444580
12100786,600.0,482034
12100787,600.0,453373
12103429,168.0,477061
12109924,400.0,420233
12125879,38.0,454733
12130892,256.0,494939
12131280,256.0,502435
12138008,2240.0,480076
12138991,1080.0,503888
12140216,1080.0,474048
12140426,630.0,438978
12141753,378.0,431703
12157957,192.0,451942
12163249,5040.0,497516
12186532,4875.0,451291
12186549,4875.0,451360
12186562,4875.0,472127
12186581,4095.0,451376
12202164,96.0,437173
12204358,3640.0,411452
12205885,5208.0,486596
12205886,5208.0,488148
12211653,1600.0,480208
12212560,600.0,489722
12213978,256.0,485129
12215694,1600.0,504421
12217082,1920.0,500322
12217083,768.0,504057
12217085,1920.0,504253
12217086,192.0,478933
12217088,768.0,505874
12217089,256.0,498585
12217130,192.0,491222
12222739,126.0,447777
12227490,630.0,436193
12231279,16.0,459382
12234379,1080.0,503648
12237816,600.0,481642
12237818,600.0,453271
12241930,256.0,475491
12242592,1200.0,458661
12242594,1200.0,492073
12254117,5040.0,503412
12254215,5040.0,494784
12256087,384.0,440843
12259923,504.0,450695
12272210,96.0,500720
12272211,96.0,493994
12272212,96.0,491348
12272213,96.0,506380
12272215,96.0,497314
12272216,96.0,497085
12274478,12.0,484845
12275157,252.0,486999
12278098,96.0,492243
12278099,96.0,490870
12280976,672.0,506352
12280991,672.0,438543
12280993,672.0,504396
12280995,672.0,482230
12280997,672.0,482222
12281002,672.0,453952
12281083,672.0,486319
12281084,672.0,438272
12282435,5504.0,422026
12283085,192.0,507131
12284815,924.0,444479
12297325,96.0,491274
12303058,256.0,495014
12304690,320.0,492345
12308149,1600.0,476248
12309128,1080.0,491830
12310942,288.0,499097
12319884,1600.0,507851
12320143,768.0,420980
12320144,1600.0,455312
12320200,256.0,437022
12322984,1200.0,479868
12323129,4368.0,434292
12332752,600.0,501455
12332865,570.0,507080
12332866,600.0,502194
12340014,252.0,503276
12340016,180.0,447339
12341453,570.0,490669
12341595,1080.0,432163
12348202,1080.0,503824
12348203,1080.0,500741
12350028,360.0,496418
12355185,96.0,492244
12355187,96.0,488710
12355258,216.0,459031
12355936,320.0,504297
12355943,320.0,505835
12357124,3456.0,472051
12358388,2304.0,488683
12358410,2304.0,501363
12358411,2304.0,499151
12358413,2304.0,499166
12359142,320.0,491216
12359144,320.0,488292
12365155,15680.0,388232
12366946,24.0,491443
12366948,24.0,491465
12366971,27.0,491590
12366972,24.0,498927
12366981,27.0,493002
12367238,36.0,506505
12367260,24.0,498731
12367290,27.0,497206
12367419,432.0,462318
12368814,768.0,489826
12369707,216.0,485544
12369874,672.0,418417
12371413,630.0,480518
12376600,864.0,457312
12380832,432.0,455293
12382160,252.0,454988
12383167,504.0,507954
12383272,1080.0,481741
12385039,96.0,497186
12385073,96.0,497183
12385104,432.0,473849
12385509,1200.0,485545
12390953,432.0,473537
12391123,320.0,481662
12391124,320.0,489798
12391347,192.0,492358
12391348,192.0,497223
12392132,36.0,500641
12392238,24.0,491484
12393716,432.0,487787
12393877,1056.0,476441
12395730,432.0,497720
12395754,432.0,477750
12395756,432.0,484059
12396384,1116.0,463735
12396485,432.0,469366
12400132,432.0,481796
12402475,9.0,503520
12404873,924.0,434484
12406126,20.0,422726
12409592,672.0,419438
12410402,448.0,440372
12410631,1080.0,412571
12413510,432.0,439715
12414746,30.0,483497
12414753,2.0,458353
12414785,168.0,462421
12414822,3.0,456473
12415275,768.0,426811
12415412,360.0,476487
12415414,360.0,477069
12416923,11664.0,485790
12416994,1008.0,405981
12417457,11664.0,465243
12419611,1.0,456634
12422409,432.0,473869
12423720,432.0,503402
12424899,432.0,492521
12427265,63.0,465929
12428436,4.0,443797
12429359,492.0,489535
12429610,504.0,494705
12431372,192.0,495324
12433607,1242.0,507696
12433711,1242.0,507741
12436731,432.0,487573
12437327,2400.0,474244
12437338,2400.0,488530
12438536,558.0,443326
12442350,480.0,466061
12442398,552.0,466081
12442416,360.0,447616
12442552,12.0,464582
